cohort	tree	framework	strategy	task	encoder	model	surv_loss	experiment_id	n_folds	n_fold_dirs	seed	elapsed_s	primary_metric	test_mean	test_std	test_ci_low	test_ci_high	val_mean	val_std	per_fold_test	per_fold_val	mtime	path
tcga_luad	benchmark_5fold	dtfd	standard	os	hoptimus1	dtfd_mil	nllsurv	dtfd__standard__os__hoptimus1__dtfd_mil__s42__nllsurv	5	5	42	11554	c_index	0.5993881038009417	0.035595264499462424	0.5696951821341723	0.6270156370981856	0.5802813036258175	0.05426509095140562	[0.64441819255759, 0.6130790190735694, 0.5887445887445888, 0.5472074468085106, 0.6034912718204489]	[0.6247191011235955, 0.5327510917030568, 0.5196304849884527, 0.6424418604651163, 0.5818639798488665]	1784719561	dtfd/standard/os/hoptimus1/dtfd_mil/nllsurv
tcga_luad	benchmark_5fold	dtfd	standard	os	uni_v2	dtfd_mil	nllsurv	dtfd__standard__os__uni_v2__dtfd_mil__s42__nllsurv	5	5	42	11471	c_index	0.5949367037710982	0.07743126640321132	0.5297165190837141	0.6496588379630813	0.5744002517932577	0.06610848874544456	[0.6798582398109864, 0.6376021798365122, 0.5708101422387136, 0.47606382978723405, 0.6103491271820449]	[0.6224719101123596, 0.5502183406113537, 0.47113163972286376, 0.6337209302325582, 0.5944584382871536]	1784719387	dtfd/standard/os/uni_v2/dtfd_mil/nllsurv
tcga_luad	benchmark_5fold	dtfd	standard	os	virchow2	dtfd_mil	nllsurv	dtfd__standard__os__virchow2__dtfd_mil__s42__nllsurv	5	5	42	12505	c_index	0.6169342234720032	0.03833771967690862	0.5868508153950684	0.649862496741018	0.5909604164072446	0.07600243212095933	[0.674542232722977, 0.6239782016348774, 0.6048237476808905, 0.5684840425531915, 0.6128428927680798]	[0.6764044943820224, 0.6703056768558951, 0.5196304849884527, 0.5494186046511628, 0.5390428211586902]	1784720556	dtfd/standard/os/virchow2/dtfd_mil/nllsurv
tcga_luad	benchmark_5fold	nnmil	standard	egfr	hoptimus1	simple_mil		nnmil__standard__egfr__hoptimus1__simple_mil__s42	5	5	42	9845.017878857441	auc_roc	0.7877022947666499	0.04849810819662846	0.7527502738225631	0.8274773061202682	0.8019047619047619	0.053303563119831365	[0.7349397590361446, 0.8072289156626505, 0.8602409638554216, 0.7578313253012048, 0.7782705099778271]	[0.8571428571428572, 0.7761904761904761, 0.861904761904762, 0.7619047619047619, 0.7523809523809524]	1783795637	nnmil/standard/egfr/hoptimus1/simple_mil
tcga_luad	benchmark_5fold	nnmil	standard	egfr	hoptimus1	trans_mil		nnmil__standard__egfr__hoptimus1__trans_mil__s42	5	5	42	5115.85711462819	auc_roc	0.7800764031736703	0.05367757526172489	0.7452894504848663	0.8274698795180724	0.8552380952380954	0.09889411181396965	[0.7855421686746988, 0.7457831325301205, 0.8686746987951808, 0.7686746987951807, 0.7317073170731707]	[0.8809523809523809, 0.8571428571428571, 0.6952380952380952, 0.8761904761904762, 0.9666666666666668]	1783631909	nnmil/standard/egfr/hoptimus1/trans_mil
tcga_luad	benchmark_5fold	nnmil	standard	egfr	uni_v2	simple_mil		nnmil__standard__egfr__uni_v2__simple_mil__s42	5	5	42	13511.242399957031	auc_roc	0.7530184596479043	0.05813851982620587	0.7084529693051584	0.7937349397590362	0.8047619047619048	0.09874495882537004	[0.7783132530120482, 0.7265060240963854, 0.8168674698795181, 0.7771084337349398, 0.6662971175166297]	[0.8714285714285713, 0.6523809523809524, 0.7857142857142858, 0.8047619047619048, 0.9095238095238094]	1783799308	nnmil/standard/egfr/uni_v2/simple_mil
tcga_luad	benchmark_5fold	nnmil	standard	egfr	uni_v2	trans_mil		nnmil__standard__egfr__uni_v2__trans_mil__s42	5	5	42	6439.367403412238	auc_roc	0.7329142735019902	0.03409781850804565	0.7035166831405444	0.7567962359415489	0.8495238095238096	0.051132303602080424	[0.7674698795180723, 0.7457831325301205, 0.7542168674698795, 0.6831325301204819, 0.7139689578713969]	[0.9047619047619048, 0.861904761904762, 0.7809523809523811, 0.8142857142857143, 0.8857142857142858]	1783633232	nnmil/standard/egfr/uni_v2/trans_mil
tcga_luad	benchmark_5fold	nnmil	standard	egfr	virchow2	simple_mil		nnmil__standard__egfr__virchow2__simple_mil__s42	5	5	42	21850.14390101144	auc_roc	0.7386883231373387	0.02221764866095085	0.7230109529025193	0.7549397590361446	0.839047619047619	0.060365477963031225	[0.7313253012048194, 0.7686746987951807, 0.7120481927710843, 0.7530120481927711, 0.7283813747228381]	[0.8952380952380952, 0.7952380952380953, 0.7952380952380953, 0.7952380952380953, 0.9142857142857143]	1783799335	nnmil/standard/egfr/virchow2/simple_mil
tcga_luad	benchmark_5fold	nnmil	standard	egfr	virchow2	trans_mil		nnmil__standard__egfr__virchow2__trans_mil__s42	5	5	42	6701.927141091321	auc_roc	0.7005914567360351	0.07631432766981139	0.6388828039430449	0.7566265060240964	0.818095238095238	0.03648377392262468	[0.7879518072289157, 0.7481927710843373, 0.7108433734939759, 0.6650602409638555, 0.5909090909090909]	[0.8333333333333334, 0.8333333333333334, 0.7619047619047619, 0.8047619047619048, 0.8571428571428571]	1783633494	nnmil/standard/egfr/virchow2/trans_mil
tcga_luad	benchmark_5fold	nnmil	standard	kras	hoptimus1	simple_mil		nnmil__standard__kras__hoptimus1__simple_mil__s42	5	5	42	23866.33367169602	auc_roc	0.6560337706093542	0.09211526367800309	0.5847513616785113	0.7280508474576269	0.6262745098039215	0.07489066745783413	[0.5408866995073891, 0.6864406779661016, 0.6146560319042872, 0.6480558325024925, 0.7901296111665005]	[0.6117647058823529, 0.5392156862745098, 0.6039215686274509, 0.7450980392156863, 0.6313725490196078]	1783809976	nnmil/standard/kras/hoptimus1/simple_mil
